group,system,seed,source_run,result_path,n_poses,vina_top_affinity_kcal_mol,vina_top_rmsd_angstrom,vina_rank1_cnn_score,vina_rank1_cnn_affinity,cnn_selected_vina_rank,cnn_selected_cnn_score,cnn_selected_cnn_affinity,cnn_selected_vina_affinity_kcal_mol,cnn_selected_rmsd_angstrom,affinity_selected_vina_rank,affinity_selected_cnn_affinity,affinity_selected_rmsd_angstrom,cnn_vina_rank1_agree,spearman_vina_quality_vs_cnn_score,spearman_vina_quality_vs_cnn_affinity
BACE1 canonical,BACE1_verubecestat,4409,canonical_obabel_seed4409_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/canonical_obabel_seed4409_ex32/result.json,20,-9.493,0.9577,0.9275901914,7.3799490929,1,0.9275901914,7.3799490929,-9.493,0.9577,1,7.3799490929,0.9577,True,0.22706766917293233,0.28421052631578947
BACE1 canonical,BACE1_verubecestat,5519,canonical_obabel_seed5519_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/canonical_obabel_seed5519_ex32/result.json,20,-9.531,0.9542,0.9217302203,7.3632884026,1,0.9217302203,7.3632884026,-9.531,0.9542,1,7.3632884026,0.9542,True,0.25413533834586466,0.3218045112781955
CHRNA7 canonical,CHRNA7_encenicline,20260825,canonical_obabel_redock_seed20260825_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_redock_seed20260825_ex32/result.json,7,-9.852,0.3011,0.9538094997,6.935277462,2,0.9606457949,7.1178603172,-9.111,1.8478,3,7.2171578407,2.3275,False,0.8571428571428571,0.7142857142857143
CHRNA7 canonical,CHRNA7_encenicline,1103,canonical_obabel_seed1103_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_seed1103_ex32/result.json,12,-9.871,0.2912,0.9529852271,6.9183216095,2,0.9612460732,7.1246161461,-9.106,1.8498,5,7.2699604034,2.2939,False,0.7552447552447552,0.6853146853146853
CHRNA7 canonical,CHRNA7_encenicline,2207,canonical_obabel_seed2207_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_seed2207_ex32/result.json,11,-9.859,0.3071,0.9534022808,6.9218554497,2,0.9606614709,7.1223511696,-9.121,1.8479,3,7.2707409859,2.2866,False,0.5363636363636364,0.43636363636363634
CHRNA7 canonical,CHRNA7_encenicline,3301,canonical_obabel_seed3301_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_seed3301_ex32/result.json,7,-9.857,0.3104,0.953327179,6.9211335182,2,0.9614562392,7.1194338799,-9.111,1.8477,3,7.2800388336,2.2738,False,0.8571428571428571,0.7142857142857143
CHRNA7 canonical,CHRNA7_encenicline,4409,canonical_obabel_seed4409_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_seed4409_ex32/result.json,10,-9.876,0.2792,0.9535351992,6.9261937141,2,0.9625416398,7.1214828491,-9.131,1.8457,3,7.2146677971,2.3376,False,0.6242424242424243,0.5151515151515151
CHRNA7 canonical,CHRNA7_encenicline,5519,canonical_obabel_seed5519_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/canonical_obabel_seed5519_ex32/result.json,8,-9.867,0.2917,0.9539160728,6.9288601875,2,0.9620817304,7.1153206825,-9.116,1.8455,3,7.275405407,2.2806,False,0.6666666666666666,0.40476190476190477
CHRFAM7A at A face,CHRNA7_encenicline,1103,hybrid_A_face_seed1103_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed1103_ex32/result.json,20,-7.537,2.0238,0.8010046482,6.5962715149,4,0.9399465919,6.7539725304,-7.35,2.5427,4,6.7539725304,2.5427,False,0.40601503759398494,0.5082706766917293
CHRFAM7A at A face,CHRNA7_encenicline,20260825,hybrid_A_face_seed20260825_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed20260825_ex32/result.json,20,-7.543,1.9981,0.8049125075,6.6061863899,12,0.8450523019,6.6846065521,-6.085,5.9117,12,6.6846065521,5.9117,False,0.4406015037593985,0.40150375939849625
CHRFAM7A at A face,CHRNA7_encenicline,2207,hybrid_A_face_seed2207_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed2207_ex32/result.json,20,-7.552,2.0512,0.8034932613,6.6045403481,4,0.9418846965,6.751115799,-7.356,2.519,4,6.751115799,2.519,False,0.3263157894736842,0.48270676691729325
CHRFAM7A at A face,CHRNA7_encenicline,3301,hybrid_A_face_seed3301_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed3301_ex32/result.json,20,-7.537,2.0284,0.8043474555,6.5974202156,4,0.9157171249,6.666249752,-7.053,2.6928,4,6.666249752,2.6928,False,0.5114705137936195,0.53854836452387
CHRFAM7A at A face,CHRNA7_encenicline,4409,hybrid_A_face_seed4409_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed4409_ex32/result.json,20,-7.536,2.0018,0.8011822701,6.5962085724,4,0.9475897551,6.7994732857,-7.373,2.5658,4,6.7994732857,2.5658,False,0.5473684210526316,0.6616541353383458
CHRFAM7A at A face,CHRNA7_encenicline,5519,hybrid_A_face_seed5519_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_A_face_seed5519_ex32/result.json,20,-7.514,4.4776,0.5357710719,5.954179287,4,0.9435166121,6.7572703362,-7.325,2.5276,4,6.7572703362,2.5276,False,0.4932330827067669,0.6390977443609023
