group,system,seed,source_run,result_path,pose_rank,vina_affinity_kcal_mol,vina_rmsd_to_crystal_angstrom,gnina_score_only_vina_kcal_mol,cnn_score,cnn_affinity,cnn_affinity_variance,cnn_vs
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,3,-7.973,6.5221,-7.89693,0.1428428292,4.4404778481,1.142711997,0.6342903972
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,4,-7.852,7.122,-7.64344,0.0380942486,4.0589547157,1.4576435089,0.154622823
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,5,-7.624,7.257,-7.5886,0.1825192273,4.8942313194,0.5718454719,0.8932912946
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,6,-7.457,7.0789,-7.37472,0.1074696705,4.5271682739,1.1105011702,0.4865332842
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,7,-7.219,6.9875,-7.15083,0.1263685077,5.0286459923,0.3500612676,0.6354624629
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,8,-7.209,8.9826,-7.19827,0.1486610025,4.8855099678,0.3201333582,0.726284802
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,9,-7.143,7.8077,-7.60356,0.033300139,3.5080881119,2.0157802105,0.1168198213
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,10,-7.115,6.805,-7.58159,0.0836689472,4.404706955,1.0620241165,0.3685371876
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,11,-6.97,6.823,-6.85721,0.1775293201,5.0885262489,0.5214287043,0.9033626318
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,12,-6.906,7.382,-6.72397,0.2519226074,4.6839618683,0.4445894659,1.1799958944
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,13,-6.879,7.116,-6.6696,0.2034536302,4.8789467812,0.7497829795,0.9926394224
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,14,-6.868,6.8457,-7.3725,0.0504000038,4.204885006,1.3769260645,0.2119262218
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,15,-6.795,7.387,-6.5991,0.1412430704,4.5643954277,0.5331024528,0.6446892023
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,16,-6.765,6.9214,-6.56481,0.0390355289,3.9789993763,1.3355822563,0.1553223431
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,17,-6.749,6.7325,-6.53354,0.0458992235,4.4653201103,0.5989715457,0.2049547285
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,18,-6.732,7.179,-6.68737,0.1561872512,4.98954916,0.6941780448,0.779303968
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,19,-6.645,6.9527,-6.44025,0.1143212616,4.9227604866,0.4556844532,0.5627762079
BACE1-457,BACE1_verubecestat,20260825,alternate_457_seed20260825_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed20260825_ex32/result.json,20,-6.582,7.0358,-6.39562,0.0710425675,4.4400267601,0.5462512374,0.3154309094
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,1,-8.265,7.0267,-8.26784,0.0391902998,4.080098629,1.4056220055,0.1599002928
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,2,-7.981,7.3181,-7.83889,0.0414639674,4.4748272896,0.7620022893,0.1855440885
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,3,-7.969,6.5112,-7.88173,0.1422173828,4.4169831276,1.1746841669,0.6281718016
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,4,-7.901,7.1618,-7.6796,0.0382351279,4.1396460533,1.3593893051,0.1582798958
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,5,-7.665,7.7851,-7.48323,0.0445423275,3.96884799,1.4253524542,0.1767817289
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,6,-7.651,7.2555,-7.5955,0.1824031025,5.0000414848,0.4459589422,0.9120230675
