"transcript_id","gene_id","padj_gene","padj_tx","psi_AD","psi_ctrl","delta_psi","pval","empirical_pval","regular_FDR","empirical_FDR","robust_to_braak","psi_active_ctrl","cell_type"
"ACTB-206","ACTB",0.915054242587661,NA,0.274514429699013,0.392107027110273,-0.117592597411261,0.55472537270773,NA,0.995563862140902,NA,FALSE,0.457387030452974,"OPC"
"ACTB-217","ACTB",0.915054242587661,NA,0.725485570300987,0.607892972889727,0.117592597411261,0.554725372707731,NA,0.995563862140902,NA,FALSE,0.542612969547026,"OPC"
"ACTG1-205","ACTG1",0.896592614062696,NA,0.68097150367869,0.623006966087428,0.0579645375912624,0.461129899508677,NA,0.995563862140902,NA,FALSE,0.43054921387799,"OPC"
"ACTG1-206","ACTG1",0.896592614062696,NA,0.31902849632131,0.376993033912572,-0.0579645375912623,0.461129899508677,NA,0.995563862140902,NA,FALSE,0.56945078612201,"OPC"
"AFAP1L2-201","AFAP1L2",0.784071866944837,NA,0.389652335814459,0.20132325009776,0.188329085716699,0.220293508674976,NA,0.95758836294328,NA,FALSE,0.63249546152772,"OPC"
"AFAP1L2-202","AFAP1L2",0.784071866944837,NA,0.119693887333773,0.294218351901643,-0.17452446456787,0.576725396004466,NA,0.995563862140902,NA,FALSE,0.238081273565145,"OPC"
"AFAP1L2-206","AFAP1L2",0.784071866944837,NA,0.490653776851768,0.504458398000597,-0.0138046211488292,0.853899085351626,NA,0.996484014458586,NA,FALSE,0.129423264907136,"OPC"
"AFF4-201","AFF4",0.80498505034331,NA,0.456291197754612,0.787246515494739,-0.330955317740127,0.252450932947902,NA,0.968154186428018,NA,FALSE,0.373992673992674,"OPC"
"AFF4-203","AFF4",0.80498505034331,NA,0.543708802245388,0.212753484505261,0.330955317740127,0.252450932947902,NA,0.968154186428018,NA,FALSE,0.626007326007326,"OPC"
"AKAP6-201","AKAP6",0.970184961711498,NA,0.632664656749397,0.588688429273862,0.0439762274755349,0.725042812721235,NA,0.996484014458586,NA,FALSE,0.763262599469496,"OPC"
"AKAP6-213","AKAP6",0.970184961711498,NA,0.367335343250604,0.411311570726138,-0.0439762274755349,0.725042812721234,NA,0.996484014458586,NA,FALSE,0.236737400530504,"OPC"
"ANKRD26-201","ANKRD26",0.970184961711498,NA,0.528981325801337,0.361204013377926,0.16777731242341,0.717749238512457,NA,0.996484014458586,NA,FALSE,0.654320987654321,"OPC"
"ANKRD26-202","ANKRD26",0.970184961711498,NA,0.471018674198663,0.638795986622074,-0.16777731242341,0.717749238512457,NA,0.996484014458586,NA,FALSE,0.345679012345679,"OPC"
"ANKRD36C-201","ANKRD36C",0.996484014458586,NA,0.737055057285693,0.670485531763688,0.066569525522005,0.975973523601873,NA,0.996484014458586,NA,FALSE,0.787179487179487,"OPC"
"ANKRD36C-202","ANKRD36C",0.996484014458586,NA,0.262944942714307,0.329514468236312,-0.0665695255220051,0.975973523601874,NA,0.996484014458586,NA,FALSE,0.212820512820513,"OPC"
"ANXA7-201","ANXA7",0.984766232374261,NA,0.524076903488668,0.450735930735931,0.0733409727527374,0.786647582074114,NA,0.996484014458586,NA,FALSE,0.792676767676768,"OPC"
"ANXA7-202","ANXA7",0.984766232374261,NA,0.475923096511332,0.549264069264069,-0.0733409727527374,0.786647582074114,NA,0.996484014458586,NA,FALSE,0.207323232323232,"OPC"
"AP2M1-202","AP2M1",0.872276921445056,NA,0.322744658414593,0.435088591651025,-0.112343933236432,0.418073554065382,NA,0.986551618434774,NA,FALSE,0.355206930604184,"OPC"
"AP2M1-208","AP2M1",0.872276921445056,NA,0.677255341585407,0.564911408348975,0.112343933236432,0.418073554065382,NA,0.986551618434774,NA,FALSE,0.644793069395816,"OPC"
"APP-201","APP",0.970184961711498,NA,0.179342470054591,0.19417658287008,-0.0148341128154889,0.723313972572846,NA,0.996484014458586,NA,FALSE,0.17658123501199,"OPC"
"APP-202","APP",0.970184961711498,NA,0.39133142608565,0.409797253423445,-0.0184658273377951,0.99129488952865,NA,0.996484014458586,NA,FALSE,0.503953952222837,"OPC"
"APP-204","APP",0.970184961711498,NA,0.429326103859759,0.396026163706475,0.033299940153284,0.869249669004139,NA,0.996484014458586,NA,FALSE,0.319464812765172,"OPC"
"ARID4B-201","ARID4B",0.786206668641761,NA,0.510203303667227,0.742572920472537,-0.23236961680531,0.227953412801458,NA,0.958890986458306,NA,FALSE,0.350446428571429,"OPC"
"ARID4B-202","ARID4B",0.786206668641761,NA,0.489796696332773,0.257427079527463,0.23236961680531,0.227953412801457,NA,0.958890986458306,NA,FALSE,0.649553571428571,"OPC"
"ASH1L-213","ASH1L",0.996484014458586,NA,0.33672335337297,0.45515037593985,-0.11842702256688,0.940463008298152,NA,0.996484014458586,NA,FALSE,0.492708333333333,"OPC"
"ASH1L-215","ASH1L",0.996484014458586,NA,0.66327664662703,0.54484962406015,0.11842702256688,0.940463008298152,NA,0.996484014458586,NA,FALSE,0.507291666666667,"OPC"
"ATP2B1-202","ATP2B1",0.915054242587661,NA,0.534365965085155,0.642926105529646,-0.108560140444491,0.546322338392075,NA,0.995563862140902,NA,FALSE,0.638888888888889,"OPC"
"ATP2B1-207","ATP2B1",0.915054242587661,NA,0.465634034914845,0.357073894470354,0.108560140444491,0.546322338392076,NA,0.995563862140902,NA,FALSE,0.361111111111111,"OPC"
"ATRX-201","ATRX",0.775390515575489,NA,0.569539539668745,0.580562686318558,-0.0110231466498134,0.815551895214304,NA,0.996484014458586,NA,FALSE,0.558037135278515,"OPC"
"ATRX-202","ATRX",0.775390515575489,NA,0.355403302135215,0.369328682444747,-0.0139253803095321,0.53941310828316,NA,0.995563862140902,NA,FALSE,0.416373231653404,"OPC"
"ATRX-213","ATRX",0.775390515575489,NA,0.0362631557937569,0.0378832612320366,-0.00162010543827971,0.957152289581466,NA,0.996484014458586,NA,FALSE,0.0197281167108753,"OPC"
"ATRX-214","ATRX",0.775390515575489,NA,0.0387940024022836,0.0122253700046584,0.0265686323976252,0.199840987210621,NA,0.941281079291327,NA,FALSE,0.00586151635720601,"OPC"
"BAZ2B-202","BAZ2B",0.964349831600619,NA,0.42404444718971,0.399482510945265,0.0245619362444453,0.662150702824676,NA,0.996484014458586,NA,FALSE,0.400580347081361,"OPC"
"BAZ2B-203","BAZ2B",0.964349831600619,NA,0.57595555281029,0.600517489054735,-0.0245619362444454,0.662150702824676,NA,0.996484014458586,NA,FALSE,0.599419652918639,"OPC"
"BCAN-201","BCAN",0.996484014458586,NA,0.980179452325562,0.986382581219185,-0.00620312889362251,0.871601829039966,NA,0.996484014458586,NA,FALSE,0.989574963352295,"OPC"
"BCAN-202","BCAN",0.996484014458586,NA,0.0198205476744378,0.0136174187808154,0.00620312889362242,0.871601829039965,NA,0.996484014458586,NA,FALSE,0.0104250366477052,"OPC"
"BSCL2-203","BSCL2",0.451184811416983,NA,0.785502209893579,0.598416113433325,0.187086096460254,0.0266973261193481,NA,0.573992511565984,NA,FALSE,0.711787924468423,"OPC"
"BSCL2-236","BSCL2",0.451184811416983,NA,0.214497790106421,0.401583886566675,-0.187086096460254,0.0266973261193481,NA,0.573992511565984,NA,FALSE,0.288212075531577,"OPC"
"C18orf25-205","C18orf25",0.850856177600773,NA,0.44915127207908,0.55298353909465,-0.103832267015571,0.368567424775324,NA,0.968154186428018,NA,FALSE,0.680555555555556,"OPC"
