cell_type,gene_id,donor,n_cells_expressing_gene,n_cells_total_donor
Excitatory_neuron,GRIA2,PO23,278,1605
Excitatory_neuron,GRIA2,PO28,303,1851
Excitatory_neuron,GRIA2,PO41,292,973
Excitatory_neuron,GRIA2,PO42,165,1303
Excitatory_neuron,GRIA2,SMC027,30,129
Excitatory_neuron,GRIA2,SMC029,18,150
Excitatory_neuron,GRIA2,SMC030,247,915
Excitatory_neuron,GRIA2,SMC031,31,389
Excitatory_neuron,GRIA2,SMC032,98,578
Excitatory_neuron,GRIA2,SMC033,196,2797
Excitatory_neuron,GRIA2,SMC035,163,1589
Excitatory_neuron,GRIA2,SMC036,17,206
Excitatory_neuron,GRIA2,SMC037,136,1120
Excitatory_neuron,GRIA2,SMC038,234,1640
Excitatory_neuron,GRIA2,SMC039,21,413
Excitatory_neuron,GRIA2,SMC041,70,1746
Excitatory_neuron,GRIA2,SMC043,3,105
Excitatory_neuron,GRIA2,SMC049,601,4070
Excitatory_neuron,GRIA2,SMC052,412,4785
Excitatory_neuron,GRIA2,SMC053,529,3231
Excitatory_neuron,KLC1,PO05,9,1197
Excitatory_neuron,KLC1,PO11,9,1165
Excitatory_neuron,KLC1,PO13,7,777
Excitatory_neuron,KLC1,PO15,138,744
Excitatory_neuron,KLC1,PO20,16,1454
Excitatory_neuron,KLC1,PO23,176,1605
Excitatory_neuron,KLC1,PO28,53,1851
Excitatory_neuron,KLC1,PO41,48,973
Excitatory_neuron,KLC1,PO42,6,1303
Excitatory_neuron,KLC1,SMC027,5,129
Excitatory_neuron,KLC1,SMC029,3,150
Excitatory_neuron,KLC1,SMC030,134,915
Excitatory_neuron,KLC1,SMC031,3,389
Excitatory_neuron,KLC1,SMC032,46,578
Excitatory_neuron,KLC1,SMC033,43,2797
Excitatory_neuron,KLC1,SMC035,38,1589
Excitatory_neuron,KLC1,SMC036,2,206
Excitatory_neuron,KLC1,SMC037,53,1120
Excitatory_neuron,KLC1,SMC038,49,1640
Excitatory_neuron,KLC1,SMC039,5,413
Excitatory_neuron,KLC1,SMC041,30,1746
Excitatory_neuron,KLC1,SMC043,1,105
Excitatory_neuron,KLC1,SMC049,281,4070
Excitatory_neuron,KLC1,SMC052,31,4785
Excitatory_neuron,KLC1,SMC053,138,3231
Excitatory_neuron,MGRN1,PO05,2,1197
Excitatory_neuron,MGRN1,PO11,13,1165
Excitatory_neuron,MGRN1,PO13,1,777
Excitatory_neuron,MGRN1,PO15,18,744
Excitatory_neuron,MGRN1,PO20,12,1454
Excitatory_neuron,MGRN1,PO23,49,1605
Excitatory_neuron,MGRN1,PO28,27,1851
Excitatory_neuron,MGRN1,PO41,29,973
Excitatory_neuron,MGRN1,PO42,10,1303
Excitatory_neuron,MGRN1,SMC027,3,129
Excitatory_neuron,MGRN1,SMC029,0,150
Excitatory_neuron,MGRN1,SMC030,10,915
Excitatory_neuron,MGRN1,SMC031,4,389
Excitatory_neuron,MGRN1,SMC032,15,578
Excitatory_neuron,MGRN1,SMC033,9,2797
Excitatory_neuron,MGRN1,SMC035,15,1589
Excitatory_neuron,MGRN1,SMC036,0,206
Excitatory_neuron,MGRN1,SMC037,5,1120
Excitatory_neuron,MGRN1,SMC038,19,1640
Excitatory_neuron,MGRN1,SMC039,1,413
Excitatory_neuron,MGRN1,SMC041,6,1746
Excitatory_neuron,MGRN1,SMC043,0,105
Excitatory_neuron,MGRN1,SMC049,16,4070
Excitatory_neuron,MGRN1,SMC052,9,4785
Excitatory_neuron,MGRN1,SMC053,35,3231
Excitatory_neuron,RGS7,PO05,64,1197
Excitatory_neuron,RGS7,PO11,48,1165
Excitatory_neuron,RGS7,PO13,18,777
Excitatory_neuron,RGS7,PO15,236,744
Excitatory_neuron,RGS7,PO20,73,1454
Excitatory_neuron,RGS7,PO23,173,1605
Excitatory_neuron,RGS7,PO28,67,1851
Excitatory_neuron,RGS7,PO41,149,973
Excitatory_neuron,RGS7,PO42,26,1303
Excitatory_neuron,RGS7,SMC027,9,129
Excitatory_neuron,RGS7,SMC029,6,150
Excitatory_neuron,RGS7,SMC030,295,915
Excitatory_neuron,RGS7,SMC031,5,389
Excitatory_neuron,RGS7,SMC032,88,578
Excitatory_neuron,RGS7,SMC033,44,2797
Excitatory_neuron,RGS7,SMC035,40,1589
Excitatory_neuron,RGS7,SMC036,4,206
Excitatory_neuron,RGS7,SMC037,122,1120
Excitatory_neuron,RGS7,SMC038,135,1640
Excitatory_neuron,RGS7,SMC039,12,413
Excitatory_neuron,RGS7,SMC041,32,1746
Excitatory_neuron,RGS7,SMC043,0,105
Excitatory_neuron,RGS7,SMC049,561,4070
Excitatory_neuron,RGS7,SMC052,524,4785
Excitatory_neuron,RGS7,SMC053,465,3231
Excitatory_neuron,RHOT1,PO05,15,1197
Excitatory_neuron,RHOT1,PO11,19,1165
Excitatory_neuron,RHOT1,PO13,3,777
Excitatory_neuron,RHOT1,PO15,61,744
Excitatory_neuron,RHOT1,PO20,5,1454
Excitatory_neuron,RHOT1,PO23,40,1605
Excitatory_neuron,RHOT1,PO28,36,1851
Excitatory_neuron,RHOT1,PO41,23,973
Excitatory_neuron,RHOT1,PO42,13,1303
Excitatory_neuron,RHOT1,SMC027,2,129
Excitatory_neuron,RHOT1,SMC029,1,150
Excitatory_neuron,RHOT1,SMC030,102,915
Excitatory_neuron,RHOT1,SMC031,2,389
Excitatory_neuron,RHOT1,SMC032,30,578
Excitatory_neuron,RHOT1,SMC033,64,2797
Excitatory_neuron,RHOT1,SMC035,26,1589
Excitatory_neuron,RHOT1,SMC036,1,206
Excitatory_neuron,RHOT1,SMC037,19,1120
Excitatory_neuron,RHOT1,SMC038,34,1640
Excitatory_neuron,RHOT1,SMC039,0,413
Excitatory_neuron,RHOT1,SMC041,2,1746
Excitatory_neuron,RHOT1,SMC043,0,105
Excitatory_neuron,RHOT1,SMC049,115,4070
Excitatory_neuron,RHOT1,SMC052,20,4785
Excitatory_neuron,RHOT1,SMC053,46,3231
