"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"A1BG-AS1","Excitatory_neuron",-0.595367424546917,1.46595448316927,0.684647419591032,0.970017036304287,0.920776805949144
"A2M","Excitatory_neuron",0.13912264994888,0.987264938310325,0.887935322747204,0.995790073272532,2.80625902469006
"AAAS","Excitatory_neuron",0.668755086638103,1.58330325018474,0.672747922686287,0.967588485376353,0.510476247542964
"AACS","Excitatory_neuron",-1.08491965378026,0.902729057067845,0.229432494287947,0.830521764647886,6.13719205474603
"AAGAB","Excitatory_neuron",-1.18606779512913,0.916635673424502,0.195687566557183,0.808841999030506,3.75883166318646
"AAK1","Excitatory_neuron",0.542306876912298,1.0122136060301,0.592122166374612,0.956228590750832,25.601902822051
"AAMP","Excitatory_neuron",1.07004199371112,0.702760159665635,0.127851908316406,0.739173252163135,9.91905687500687
"AAR2","Excitatory_neuron",-1.40436184693581,0.894715203583176,0.116503810992102,0.730530994568764,14.385375545376
"AARS1","Excitatory_neuron",-0.516787081476896,0.69699627521681,0.458421339174914,0.9288726190524,27.9593612549164
"AARS2","Excitatory_neuron",0.600525942077441,0.79255317346436,0.448624250759147,0.926986431091084,12.8384258268966
"AARSD1","Excitatory_neuron",0.4624100172261,1.12204438183667,0.680255986014174,0.968514148119972,3.08358631371509
"AASDHPPT","Excitatory_neuron",-1.03235537163552,0.619794827376441,0.0957850376846922,0.699429655170575,117.305818957141
"AASS","Excitatory_neuron",1.65337343452424,1.2930755638653,0.201025139094407,0.813662320542087,3.06548730027884
"AATF","Excitatory_neuron",-0.100739760354953,0.931102461058365,0.913841752627131,0.997077953635712,5.49592166798772
"AATK","Excitatory_neuron",0.462303105706344,1.16519767610782,0.691544908570274,0.970540117376648,21.7263201385517
"ABAT","Excitatory_neuron",0.524677268001426,0.681570813809361,0.441415009548363,0.926325129847145,4.49877968001626
"ABCA2","Excitatory_neuron",-0.841754670616744,0.888758043252248,0.343580986647454,0.889524031287041,5.50442660373932
"ABCA3","Excitatory_neuron",-3.95563944063553,1.49524973630265,0.00815773395978262,0.370985698280427,4.75178676779343
"ABCA5","Excitatory_neuron",1.36202733964333,0.607275621557074,0.0249065726693978,0.532231102306052,50.9263791005623
"ABCA6","Excitatory_neuron",-1.00075560168329,1.36871729755881,0.464679527370224,0.92981135696193,2.92922834237898
"ABCA7","Excitatory_neuron",0.12345005148227,1.35981686290088,0.927663968103679,0.997077953635712,6.43203595822329
"ABCA8","Excitatory_neuron",1.76281377213011,1.469415292,0.230267441685675,0.830655044159277,2.04528132613733
"ABCA9","Excitatory_neuron",-1.53795360649275,1.352724141472,0.255567256603361,0.844293682400366,2.65329239717143
"ABCB10","Excitatory_neuron",0.105359597849812,1.00695915713961,0.916668257275089,0.997077953635712,3.41760994797725
"ABCB6","Excitatory_neuron",-0.584821790404064,0.875829361017993,0.504302857614129,0.94394820488539,26.322295727581
"ABCB7","Excitatory_neuron",0.0275892885374685,1.27581186702125,0.982747180541323,0.998615927019472,5.20788665630335
"ABCB8","Excitatory_neuron",-0.867412148804755,1.03285004351456,0.401007132463698,0.914321393682408,8.10530597914396
"ABCB9","Excitatory_neuron",-0.356277470325648,1.46868613799818,0.808328884019802,0.987363851406834,1.54755697760406
"ABCC1","Excitatory_neuron",-0.0785211879061509,1.35502322153473,0.953789871175104,0.998255170910791,1.32263959951308
"ABCC10","Excitatory_neuron",-0.66452637554623,1.11706500732875,0.551919651201034,0.951976024523361,1.19528989940698
"ABCC5","Excitatory_neuron",-1.69037305103791,0.624338934269325,0.00678001228173508,0.345000048818937,60.9495459706794
"ABCC8","Excitatory_neuron",0.46952634061135,0.594063108331277,0.429314978318472,0.925536355929434,63.3434337396542
"ABCD2","Excitatory_neuron",0.0689921655273078,0.807661337702271,0.931925786740119,0.997077953635712,26.1437996980456
"ABCD3","Excitatory_neuron",-1.93592957509559,1.10614470955982,0.0800908101868198,0.680743357814493,30.910596047995
