"transcript_id","gene_id","padj_gene","padj_tx","psi_AD","psi_ctrl","delta_psi","pval","empirical_pval","regular_FDR","empirical_FDR","robust_to_braak","psi_active_ctrl","cell_type"
"CAMK2B-204","CAMK2B",0.03513925430928,0,0.183514034190033,0.093325805675437,0.0901882285145957,0.000216775691329681,0.00553668340692904,0.0787639371177825,0.991552639388197,FALSE,0.125086229439076,"Excitatory_neuron"
"CAMK2B-216","CAMK2B",0.03513925430928,0,0.816485965809967,0.906674194324563,-0.0901882285145956,0.000216775691329681,0.00481136922736514,0.0787639371177825,0.991552639388197,FALSE,0.874913770560924,"Excitatory_neuron"
"CSRNP3-202","CSRNP3",0.0193891573401335,0.0211518080074184,0.496165677129108,0.540892838543223,-0.0447271614141159,6.69361012892987e-05,0.00238629240217605,0.0440248300479902,0.991552639388197,FALSE,0.702976919329568,"Excitatory_neuron"
"EIF4G2-208","EIF4G2",0.0193891573401335,0.00888204408078519,0.122319948938485,0.0334451392655274,0.0888748096729573,5.6215468865729e-05,0.00250108694707732,0.0431360031096361,0.991552639388197,FALSE,0.0433406321401371,"Excitatory_neuron"
"GRIA2-231","GRIA2",0.020247024271217,0.0407435786085014,0.0348978320836387,0.011193034302236,0.0237047977814027,8.59569168955725e-05,0.00321044018346918,0.0476753866486041,0.991552639388197,FALSE,0.0614293598263902,"Excitatory_neuron"
"KLC1-207","KLC1",0.000628730233721148,0.0001143145879493,0.294248060468378,0.0424571599236379,0.25179090054474,3.61755025156012e-07,0.000130957285102213,0.00166552013581828,0.602927340610589,FALSE,0.315219785598904,"Excitatory_neuron"
"MGRN1-202","MGRN1",0.00913811393984269,0,0.689924581639698,0.261007220467958,0.42891736117174,1.05156662138581e-05,0.000935851568687999,0.0161380424162009,0.991552639388197,FALSE,0.434182381086406,"Excitatory_neuron"
"MGRN1-203","MGRN1",0.00913811393984269,0,0.310075418360302,0.738992779532042,-0.428917361171739,1.05156662138581e-05,0.000795073966595832,0.0161380424162009,0.991552639388197,FALSE,0.565817618913594,"Excitatory_neuron"
"RGS7-203","RGS7",0.0193891573401335,0.0138437260235328,0.0561875485535233,0.0201554152372378,0.0360321333162855,4.38092595681418e-05,0.00216031149235039,0.0431360031096361,0.991552639388197,FALSE,0.0552885052310058,"Excitatory_neuron"
"RHOT1-205","RHOT1",0.020247024271217,0.0294502171217702,0.43132356376974,0.285682247661394,0.145641316108345,9.31968896258552e-05,0.00336689236382761,0.0476753866486041,0.991552639388197,FALSE,0.248617543356624,"Excitatory_neuron"
"DDX5-212","DDX5",0.0210709448159543,0.010689998269539,0.141332449373517,0.0410604128283566,0.10027203654516,0.00018016851016077,NA,0.0493628313946795,NA,FALSE,0.0100671140939597,"Astrocyte"
"NTRK2-236","NTRK2",0.0210709448159543,0.0421418896319086,0.304266106442577,0.0333865564634795,0.270879549979097,0.00035512828341496,NA,0.0493628313946795,NA,FALSE,0.0233901515151515,"Astrocyte"
