group,seed,score,rmsd,path
CACNA1D shared pocket,3301,-6.727,,outputs/docking_campaign/systems/CACNA1D_isradipine/runs/shared_pocket_crossdock_seed3301_ex32/result.json
CACNA1D shared pocket,4409,-6.714,,outputs/docking_campaign/systems/CACNA1D_isradipine/runs/shared_pocket_crossdock_seed4409_ex32/result.json
CACNA1D shared pocket,5519,-6.389,,outputs/docking_campaign/systems/CACNA1D_isradipine/runs/shared_pocket_crossdock_seed5519_ex32/result.json
CACNA1D shared pocket,20260825,-6.707,,outputs/docking_campaign/systems/CACNA1D_isradipine/runs/canonical_isradipine_seed20260825_ex32/result.json
PDE9A canonical,1103,-8.137,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed1103_ex32/result.json
PDE9A canonical,2207,-8.092,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed2207_ex32/result.json
PDE9A canonical,3301,-8.09,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed3301_ex32/result.json
PDE9A canonical,4409,-8.059,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed4409_ex32/result.json
PDE9A canonical,5519,-8.066,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed5519_ex32/result.json
PDE9A canonical,20260825,-8.045,,outputs/docking_campaign/systems/PDE9A_BI409306/runs/canonical_crossdock_seed20260825_ex32/result.json
