"transcript_id","gene_id","padj_gene","padj_tx","psi_AD","psi_ctrl","delta_psi","pval","empirical_pval","regular_FDR","empirical_FDR","robust_to_braak","psi_active_ctrl","cell_type"
"CAMK2B-204","CAMK2B",0.0332671598587754,0,0.172654914482689,0.0883610666402075,0.0842938478424818,0.000225693079096169,0.00571308457165564,0.0715823215866689,0.990485823703995,FALSE,0.125086229439076,"Excitatory_neuron"
"CAMK2B-216","CAMK2B",0.0332671598587754,0,0.726701383704017,0.811063077367962,-0.0843616936639449,0.000225693079096171,0.00498817131264755,0.0715823215866689,0.990485823703995,FALSE,0.874913770560924,"Excitatory_neuron"
"CSRNP3-201","CSRNP3",0.021725051591211,0.0499492506973816,0.131432827710402,0.111029788048412,0.0204030396619893,0.000372755602219266,0.00673190024761005,0.101336273003323,0.990485823703995,FALSE,0.112776209541029,"Excitatory_neuron"
"CSRNP3-202","CSRNP3",0.021725051591211,0.0158000375208807,0.496165677129108,0.540892838543223,-0.0447271614141159,0.000117910727767767,0.00338746680132572,0.0498631366537911,0.990485823703995,FALSE,0.719412169044095,"Excitatory_neuron"
"EIF4G2-208","EIF4G2",0.0180308270223817,0.00878646929169655,0.120947593592906,0.033172358600363,0.0877752349925426,6.55706663559444e-05,0.00276254565762977,0.0399061800623289,0.990485823703995,FALSE,0.0433406321401371,"Excitatory_neuron"
"ERCC6L2-222","ERCC6L2",0.0180308270223817,0.0491749827883138,0.0573006324976198,0.00797561618499834,0.0493250163126214,7.33954966989759e-05,0.00295148845946769,0.0399061800623289,0.990485823703995,FALSE,0,"Excitatory_neuron"
"GRIA2-231","GRIA2",0.0199029084053591,0.0379964615011402,0.0336714175426923,0.0109083568159469,0.0227630607267454,9.45185609481099e-05,0.0034240347481362,0.0449672053710633,0.990485823703995,FALSE,0.0614293598263902,"Excitatory_neuron"
"KLC1-207","KLC1",0.000611996220777316,0.00011127204014133,0.224213162818861,0.0417767960909191,0.182436366727942,4.15194179631829e-07,0.000144001196904229,0.00158022904767874,0.548068555417497,FALSE,0.315219785598904,"Excitatory_neuron"
"MGRN1-202","MGRN1",0.00932630842007753,0,0.654901254281516,0.202811462405111,0.452089791876405,1.26544211941351e-05,0.00105432181873295,0.0160542423549593,0.990485823703995,FALSE,0.434182381086406,"Excitatory_neuron"
"MGRN1-203","MGRN1",0.00932630842007753,0,0.263430960470414,0.584346576107259,-0.320915615636845,1.26544211941351e-05,0.000901458862370132,0.0160542423549593,0.990485823703995,FALSE,0.565817618913594,"Excitatory_neuron"
"RGS7-203","RGS7",0.0180308270223817,0.0132100781260989,0.0486768592202702,0.0186533957548311,0.0300234634654391,4.92913362914137e-05,0.00233677574045489,0.0375205651850241,0.990485823703995,FALSE,0.0552885052310058,"Excitatory_neuron"
"RHOT1-205","RHOT1",0.0180308270223817,0.00652168508127154,0.386111187247947,0.278049792604439,0.108061394643508,4.86692916512801e-05,0.00231944115489592,0.0375205651850241,0.990485823703995,FALSE,0.252204956501832,"Excitatory_neuron"
"DDX17-202","DDX17",0.0488408333558577,0.0179515036624313,0.082844582157761,0.236377878537966,-0.153533296380205,7.32714435201279e-05,0.00302402130561564,0.117882501188152,0.993518299377107,FALSE,0.130996896621897,"Inhibitory_neuron"
"GCC2-222","GCC2",0.0488408333558577,0.0342928664428409,0.0631682041114532,0.125591664062114,-0.062423459950661,0.000139970883440167,0.00440602716312881,0.117882501188152,0.993518299377107,FALSE,0.162131813077654,"Inhibitory_neuron"
