cell_type,gene_id,donor,n_cells_expressing_gene,n_cells_total_donor
Excitatory_neuron,GRIA2,SMC041,70,1746
Excitatory_neuron,GRIA2,SMC043,3,105
Excitatory_neuron,GRIA2,SMC049,601,4070
Excitatory_neuron,GRIA2,SMC052,412,4785
Excitatory_neuron,GRIA2,SMC053,529,3231
Excitatory_neuron,KLC1,PO05,9,1197
Excitatory_neuron,KLC1,PO11,9,1165
Excitatory_neuron,KLC1,PO13,7,777
Excitatory_neuron,KLC1,PO15,138,744
Excitatory_neuron,KLC1,PO20,16,1454
Excitatory_neuron,KLC1,PO23,176,1605
Excitatory_neuron,KLC1,PO28,53,1851
Excitatory_neuron,KLC1,PO41,48,973
Excitatory_neuron,KLC1,PO42,6,1303
Excitatory_neuron,KLC1,SMC027,5,129
Excitatory_neuron,KLC1,SMC029,3,150
Excitatory_neuron,KLC1,SMC030,134,915
Excitatory_neuron,KLC1,SMC031,3,389
Excitatory_neuron,KLC1,SMC032,46,578
Excitatory_neuron,KLC1,SMC033,43,2797
Excitatory_neuron,KLC1,SMC035,38,1589
Excitatory_neuron,KLC1,SMC036,2,206
Excitatory_neuron,KLC1,SMC037,53,1120
Excitatory_neuron,KLC1,SMC038,49,1640
Excitatory_neuron,KLC1,SMC039,5,413
Excitatory_neuron,KLC1,SMC041,30,1746
Excitatory_neuron,KLC1,SMC043,1,105
Excitatory_neuron,KLC1,SMC049,281,4070
Excitatory_neuron,KLC1,SMC052,31,4785
Excitatory_neuron,KLC1,SMC053,138,3231
Excitatory_neuron,MGRN1,PO05,2,1197
Excitatory_neuron,MGRN1,PO11,13,1165
Excitatory_neuron,MGRN1,PO13,1,777
Excitatory_neuron,MGRN1,PO15,18,744
Excitatory_neuron,MGRN1,PO20,12,1454
Excitatory_neuron,MGRN1,PO23,49,1605
Excitatory_neuron,MGRN1,PO28,27,1851
Excitatory_neuron,MGRN1,PO41,29,973
Excitatory_neuron,MGRN1,PO42,10,1303
Excitatory_neuron,MGRN1,SMC027,3,129
Excitatory_neuron,MGRN1,SMC029,0,150
Excitatory_neuron,MGRN1,SMC030,10,915
Excitatory_neuron,MGRN1,SMC031,4,389
Excitatory_neuron,MGRN1,SMC032,15,578
Excitatory_neuron,MGRN1,SMC033,9,2797
Excitatory_neuron,MGRN1,SMC035,15,1589
Excitatory_neuron,MGRN1,SMC036,0,206
Excitatory_neuron,MGRN1,SMC037,5,1120
Excitatory_neuron,MGRN1,SMC038,19,1640
Excitatory_neuron,MGRN1,SMC039,1,413
Excitatory_neuron,MGRN1,SMC041,6,1746
Excitatory_neuron,MGRN1,SMC043,0,105
Excitatory_neuron,MGRN1,SMC049,16,4070
Excitatory_neuron,MGRN1,SMC052,9,4785
Excitatory_neuron,MGRN1,SMC053,35,3231
Excitatory_neuron,RGS7,PO05,64,1197
Excitatory_neuron,RGS7,PO11,48,1165
Excitatory_neuron,RGS7,PO13,18,777
Excitatory_neuron,RGS7,PO15,236,744
Excitatory_neuron,RGS7,PO20,73,1454
