"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"A1BG","Excitatory_neuron",0.695505466142566,2.07192886784744,0.737112049560122,0.999464148140922,0.417815646392464
"A1BG-AS1","Excitatory_neuron",-0.78530074507256,1.2063768563142,0.5150735567843,0.999464148140922,1.55724246314442
"A2M","Excitatory_neuron",0.120889036913946,1.01326331951236,0.90503242716054,0.999464148140922,2.81730276769366
"A2M-AS1","Excitatory_neuron",-1.40430862666036,2.0937146709694,0.502395169405387,0.999464148140922,0.357986858997753
"AAAS","Excitatory_neuron",-1.02045282340687,1.01177369319421,0.313176998363271,0.999464148140922,2.6580000934712
"AACS","Excitatory_neuron",-1.26702728451834,0.818860929855587,0.121789812756169,0.904935750446275,7.15204512078195
"AADAT","Excitatory_neuron",0.606726802853993,2.74205161992662,0.824884183576494,0.999464148140922,0.325319398239702
"AAGAB","Excitatory_neuron",0.283772385638965,1.05653148536372,0.78824623265197,0.999464148140922,7.52858222376462
"AAK1","Excitatory_neuron",0.58808993330937,1.00276062500709,0.557559106569627,0.999464148140922,26.4131300961159
"AAMP","Excitatory_neuron",1.05526441653123,0.6760061749127,0.11851719711132,0.898698743260157,9.93593671361227
"AAR2","Excitatory_neuron",-1.25633625611208,0.862951116713483,0.145431247270807,0.932020478060147,15.0579305897889
"AARS1","Excitatory_neuron",-0.644999983578516,0.650620829161597,0.321509435864708,0.999464148140922,32.8346546392083
"AARS2","Excitatory_neuron",0.578385274408587,0.784833187662572,0.461150852467152,0.999464148140922,12.8520123904568
"AARSD1","Excitatory_neuron",0.755264062379307,1.1303712566351,0.50403417380516,0.999464148140922,3.34063788172858
"AASDH","Excitatory_neuron",2.06431622858692,1.43113441383008,0.149180117603431,0.939421821418813,2.87600856582352
"AASDHPPT","Excitatory_neuron",-1.03020430137438,0.583365509941498,0.0774013675974711,0.803415538556443,117.26221398712
"AASS","Excitatory_neuron",1.54071490303442,1.32626974481821,0.245361224342057,0.999464148140922,3.12939340519525
"AATF","Excitatory_neuron",-0.094773264122352,0.874173444329673,0.913666729692878,0.999464148140922,6.77932893243407
"AATK","Excitatory_neuron",0.49106262093339,1.16739029242846,0.674010743114813,0.999464148140922,22.2214724058391
"ABAT","Excitatory_neuron",0.542906703968415,0.594441020060913,0.361081491673181,0.999464148140922,4.96473520370536
"ABCA1","Excitatory_neuron",0.0800952029966327,3.09174839039869,0.97933221910028,0.999464148140922,0.365855158128416
"ABCA10","Excitatory_neuron",0.366698094961661,2.16774034316801,0.865669652898774,0.999464148140922,0.58166650438644
"ABCA2","Excitatory_neuron",-0.418715353747857,0.837982415078102,0.617306887916345,0.999464148140922,5.98818384141379
"ABCA3","Excitatory_neuron",-4.02715411564982,1.49209464123985,0.00695494818547895,0.311832849935005,4.88113822388722
"ABCA4","Excitatory_neuron",1.44647361876114,2.84575564682049,0.611248877847436,0.999464148140922,0.591188605913582
"ABCA5","Excitatory_neuron",1.58110887601478,0.549235618579681,0.00399261979155893,0.245086044281731,56.1013994630925
"ABCA6","Excitatory_neuron",-0.824420954761408,1.36450252288527,0.545716268759848,0.999464148140922,3.27226514409861
"ABCA7","Excitatory_neuron",-0.176715237003534,1.30007335236835,0.89187888944569,0.999464148140922,7.67238291753223
"ABCA8","Excitatory_neuron",1.84697872125932,1.12238036296317,0.0998480488777586,0.861164457024331,5.1949509876788
"ABCA9","Excitatory_neuron",-1.08666121168204,1.28957695713856,0.39942457048686,0.999464148140922,3.33279424179285
"ABCB1","Excitatory_neuron",-13.11430948959,3.56777338350883,0.000237134365163212,0.0340359985337738,1.1335042070138
"ABCB10","Excitatory_neuron",0.115463943689089,1.04693016434483,0.912180890704472,0.999464148140922,3.44546286212577
"ABCB6","Excitatory_neuron",-0.555111001098516,0.855160705831358,0.516253950209078,0.999464148140922,26.8333098126582
"ABCB7","Excitatory_neuron",-0.14319456159298,1.40748202268966,0.918964551249042,0.999464148140922,5.55239937759868
"ABCB8","Excitatory_neuron",-0.874663851420613,1.02706009613609,0.394425612581954,0.999464148140922,9.03424814118356
"ABCB9","Excitatory_neuron",-1.64493310501811,1.03262610315299,0.111168941435407,0.887765208071508,6.61489554004921
"ABCC1","Excitatory_neuron",-0.253342314490503,1.40860008770816,0.85726721435905,0.999464148140922,1.45313951379945
"ABCC10","Excitatory_neuron",-0.900713619118502,1.12807278873441,0.424607391610303,0.999464148140922,1.37301482433225
"ABCC12","Excitatory_neuron",-2.53468601919015,2.52367984251695,0.315204563001009,0.999464148140922,0.909787449112119
"ABCC5","Excitatory_neuron",-1.69459702284955,0.59360736550535,0.00430715414983048,0.252703224302819,63.8311847786676
"ABCC8","Excitatory_neuron",0.556078022828222,0.520668305588151,0.285516810347717,0.999464148140922,71.7181824454881
"ABCC9","Excitatory_neuron",1.84694117163386,1.87635570819643,0.324956438230667,0.999464148140922,1.19239920390245
"ABCD2","Excitatory_neuron",0.0758699088960216,0.791528233764423,0.923637771612016,0.999464148140922,26.0841491460074
"ABCD3","Excitatory_neuron",-2.52025792519211,1.17636265528835,0.0321600385454428,0.600136053117418,31.5952413806429
"ABCD4","Excitatory_neuron",-0.103758004081171,0.697603959772865,0.881762879125584,0.999464148140922,15.2172637450431
"ABCE1","Excitatory_neuron",-0.248049563563425,0.873092940796651,0.776330359796256,0.999464148140922,30.5256186445624
"ABCF1","Excitatory_neuron",-1.27443491776,0.839985339074042,0.129213443543238,0.910168712597533,10.7976786216571
"ABCF2","Excitatory_neuron",-0.521119966818442,0.892223074530284,0.559173793898442,0.999464148140922,86.6835422581952
"ABCF3","Excitatory_neuron",-0.157704422876081,0.935529664984726,0.866133040234252,0.999464148140922,5.6479724441633
"ABCG1","Excitatory_neuron",-3.06467752209451,1.36058342802668,0.0242923930923145,0.541851676191545,6.26884458815027
"ABCG4","Excitatory_neuron",0.186752509536365,1.62432629668704,0.908467087940925,0.999464148140922,1.42183225728551
"ABCG8","Excitatory_neuron",-0.0423139418159344,1.90727470132014,0.982299942693073,0.999464148140922,0.427644188684398
"ABHD1","Excitatory_neuron",-0.740619973664328,1.64514315433567,0.65257652404945,0.999464148140922,0.625740707785528
"ABHD10","Excitatory_neuron",0.991026179127527,1.55182456041955,0.523070176334493,0.999464148140922,0.715598373295047
"ABHD11","Excitatory_neuron",0.624101664685032,1.63101717850034,0.701982501297638,0.999464148140922,0.857613832952675
"ABHD12","Excitatory_neuron",-0.892262149162955,0.973877893570788,0.359564577723846,0.999464148140922,4.41212294722979
"ABHD12B","Excitatory_neuron",4.76205185097292,3.30786040090637,0.149975805753109,0.940435745861941,1.65144368551474
"ABHD13","Excitatory_neuron",-1.34192050808005,0.666189774652423,0.0439757709017975,0.676750284145631,43.3718578366044
"ABHD14A","Excitatory_neuron",0.112330957912689,0.86980965307058,0.897243469942335,0.999464148140922,8.14980019015923
"ABHD14B","Excitatory_neuron",2.05220730181734,1.40256293356666,0.143417104294488,0.928107038437055,2.10338886538836
"ABHD15","Excitatory_neuron",-0.068498326012414,2.30136486976407,0.976255095899799,0.999464148140922,1.2708418189484
"ABHD16A","Excitatory_neuron",1.07674810539478,0.776498664765239,0.165542136710508,0.96340598482729,13.4624871304809
"ABHD17A","Excitatory_neuron",0.224697795333023,0.986610030194233,0.819842678935595,0.999464148140922,3.42082824943124
"ABHD17B","Excitatory_neuron",-2.11753592356284,1.10229608646273,0.0547288320955221,0.735031816573383,15.5175313669901
"ABHD17C","Excitatory_neuron",1.7514039931834,2.55110086859591,0.492379765106326,0.999464148140922,0.395738119652033
"ABHD2","Excitatory_neuron",-1.15082524632262,0.787947632920517,0.144143043277194,0.928306701474443,19.9430565900641
"ABHD3","Excitatory_neuron",-1.49483945408912,1.80519230606193,0.407626509853159,0.999464148140922,0.751064658812635
"ABHD4","Excitatory_neuron",0.0545227544775,1.54653391676809,0.971876559841434,0.999464148140922,1.41763595365092
"ABHD5","Excitatory_neuron",-0.83662504571466,0.916287322867535,0.361211133928158,0.999464148140922,20.4677750137477
"ABHD6","Excitatory_neuron",-1.06409364958761,0.934833130271763,0.255007246792906,0.999464148140922,5.83499820272346
