"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"TSPAN6","Excitatory_neuron",-0.094178331414053,1.11282368833742,0.932555503295434,0.999784705755525,1.87477026174243
"DPM1","Excitatory_neuron",0.305927690016282,0.481712657056092,0.52537405280194,0.999784705755525,45.9781023298621
"SCYL3","Excitatory_neuron",0.312216454800571,0.518946136086782,0.547416745792068,0.999784705755525,37.3717581511744
"C1orf112","Excitatory_neuron",0.116115065983388,0.606715229596651,0.848225427924569,0.999784705755525,28.1961961850685
"FGR","Excitatory_neuron",-0.386357718085784,1.84776061336087,0.834373988028179,0.999784705755525,0.67651908661774
"CFH","Excitatory_neuron",1.03665526898563,1.21331513821096,0.39288393694987,0.999784705755525,2.99205385797358
"FUCA2","Excitatory_neuron",0.392177962613009,0.650054842733905,0.546309259843764,0.999784705755525,48.8702788026941
"GCLC","Excitatory_neuron",0.344607885113413,0.511624531504007,0.500593495274984,0.999784705755525,30.648539933726
"NFYA","Excitatory_neuron",-0.228365064395564,0.494082574258128,0.64393776019906,0.999784705755525,43.5827432985232
"STPG1","Excitatory_neuron",0.437156607761729,0.582109696685851,0.452660693560224,0.999784705755525,77.0466993332296
"NIPAL3","Excitatory_neuron",-0.634294808552346,0.413319168553524,0.124873066570071,0.961801692992491,118.942776152353
"LAS1L","Excitatory_neuron",0.601286293867341,0.473434826261759,0.204066524831162,0.999784705755525,151.707933198123
"ENPP4","Excitatory_neuron",-0.281141421956922,0.391130682356499,0.472269376637705,0.999784705755525,48.236335211366
"SEMA3F","Excitatory_neuron",0.255691648674061,2.06750276601659,0.901575194135012,0.999784705755525,0.404877940891033
"CFTR","Excitatory_neuron",0.0706758678344989,0.615705658260779,0.908612843154144,0.999784705755525,9.35539570944378
"ANKIB1","Excitatory_neuron",0.0498158664044164,0.443152944514479,0.910496459033696,0.999784705755525,156.037118231215
"CYP51A1","Excitatory_neuron",-0.189067651909395,0.491357893126321,0.700395951827675,0.999784705755525,67.1904122226459
"KRIT1","Excitatory_neuron",-0.380727677166442,0.409389172075497,0.352376463181949,0.999784705755525,257.963867278285
"RAD52","Excitatory_neuron",-1.54382075463176,0.592362692316452,0.00915506815858675,0.640538295895896,140.527940824833
"BAD","Excitatory_neuron",0.95704438703113,0.624633863042133,0.125480836651406,0.961801692992491,13.5842383837176
"LAP3","Excitatory_neuron",-0.925673215420958,0.714326633815686,0.195020874368155,0.999784705755525,34.2691354210592
"CD99","Excitatory_neuron",-1.59438163607665,1.48263838750612,0.282210075568137,0.999784705755525,0.734147323624369
"HS3ST1","Excitatory_neuron",0.996602941595512,0.653574182340273,0.12729638196263,0.962783870113185,48.6823399770799
"WNT16","Excitatory_neuron",-0.331298587128257,1.718584665147,0.84713589959341,0.999784705755525,0.798276194187266
