"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"ENSG00000238009","Excitatory_neuron",0.515334632367945,0.427588012750343,0.228121084387026,0.591713661607064,23.035235394178
"ENSG00000239945","Excitatory_neuron",0.216139481705965,1.60859513852973,0.893113663649961,NA,0.373509094362324
"ENSG00000241860","Excitatory_neuron",0.465046988686774,0.296596453704509,0.116893919741135,0.465779206209741,34.7158792144552
"ENSG00000290385","Excitatory_neuron",0.628338297836471,0.370464135436882,0.0898699706389266,0.422720989681769,10.5132976307811
"ENSG00000291215","Excitatory_neuron",0.174204669076918,0.205375162025633,0.396311803174959,0.723018159808955,39.2693212733145
"LINC01409","Excitatory_neuron",0.169397575252926,0.227175217815366,0.455867236433689,0.764250919036537,217.604796720772
"ENSG00000290784","Excitatory_neuron",0.475919213351771,0.175520466084187,0.00669847560162206,0.157494097995513,29.4033362340794
"LINC00115","Excitatory_neuron",-0.128537476837011,0.150886071297043,0.394278305608699,0.720999843478898,47.6694095077842
"LINC01128","Excitatory_neuron",0.0869730146106843,0.182233555161603,0.633176099523852,0.863364668078417,287.956548834727
"ENSG00000288531","Excitatory_neuron",-1.07691803155419,0.509427305256692,0.0345171605322126,0.300789969164583,11.4660075648717
"FAM41C","Excitatory_neuron",0.518116735179238,0.419517168821306,0.216818943438781,0.581450711771387,5.6939212614572
"ENSG00000272438","Excitatory_neuron",-0.778068925416266,0.946759731570107,0.411177640031721,NA,0.854820213037934
"ENSG00000230699","Excitatory_neuron",0.280929123105977,0.897840890042513,0.754361115233374,NA,0.967013681224609
"SAMD11","Excitatory_neuron",-1.29274690711558,1.23998368187418,0.297156039448268,NA,0.606562841698839
"NOC2L","Excitatory_neuron",-0.240635974695082,0.155684920879652,0.12218667152939,0.472997841491057,131.53594562356
"KLHL17","Excitatory_neuron",-0.813898068418314,0.410149656368896,0.0472120562669291,0.336309511037109,31.5426754718058
"PLEKHN1","Excitatory_neuron",0.431786691256424,1.17948949338503,0.714305901228602,NA,0.600798029359952
"ENSG00000272512","Excitatory_neuron",-2.67322906278345,1.14439684087576,0.0194949743680682,NA,1.25693614037031
"HES4","Excitatory_neuron",-1.51137155203313,0.4849254179506,0.00182881820444683,0.0910909998786394,53.083735183974
"ISG15","Excitatory_neuron",-0.877364826841041,0.362175092251951,0.0154146334580617,0.219315709219401,12.1906656651612
"ENSG00000224969","Excitatory_neuron",-1.55186125023143,0.768802012187728,0.0435345605694043,NA,1.64966525558356
"AGRN","Excitatory_neuron",-0.251045739531673,0.260043823067395,0.334345593659474,0.676882497630923,86.8083291652018
"ENSG00000291156","Excitatory_neuron",-0.365003472601808,0.251374558439757,0.14649318362819,0.505132688684912,16.6874671998033
"C1orf159","Excitatory_neuron",-0.0266939458330076,0.178813749311966,0.881329919081085,0.963708807284809,346.743386559406
"ENSG00000285812","Excitatory_neuron",-0.657685624035449,0.349929339792463,0.0601788148359575,0.367079686876789,24.8492413495836
"TTLL10","Excitatory_neuron",-0.128723787914311,1.24143281342527,0.917415605967137,NA,0.421192532517464
"TNFRSF18","Excitatory_neuron",-0.0754033011347897,0.623545994149004,0.903749167790295,0.971746888038856,15.1017241559477
"TNFRSF4","Excitatory_neuron",-0.0480301741007493,0.516587531688834,0.925922732794954,0.979556766494332,4.5950748995246
"SDF4","Excitatory_neuron",-0.391052171605266,0.202532495789199,0.0535063068335331,0.35086293306619,276.918575961342
"B3GALT6","Excitatory_neuron",-0.0788521294373745,0.284515093614634,0.781668246515343,0.92725569581708,38.2589118524897
"C1QTNF12","Excitatory_neuron",1.05894393429966,1.07385530883799,0.324077091984029,0.66943871955041,5.32388263645467
"UBE2J2","Excitatory_neuron",-0.0776894754686238,0.144390329250076,0.590541292612082,0.843884244351536,162.57292206935
"LINC01786","Excitatory_neuron",-0.021381433635475,0.187180405741227,0.909056250694823,0.973468826380197,32.1351255299109
"SCNN1D","Excitatory_neuron",0.359862684688273,0.397319573053489,0.365080874531296,0.700594124673395,39.7425528319832
"ACAP3","Excitatory_neuron",-0.0535838206427376,0.273463665211921,0.84465326434294,0.948925211189042,474.391265953162
