"transcript_id","gene_id","padj_gene","padj_tx","psi_AD","psi_ctrl","delta_psi","pval","empirical_pval","regular_FDR","empirical_FDR","robust_to_braak","psi_active_ctrl","cell_type"
"ABCC8-210","ABCC8",0.807812247489848,NA,0.0708464198164127,0.156088018341308,-0.0852415985248951,0.526670987498685,0.529055449027142,0.965921622826688,0.971798737999348,FALSE,0.226575854700855,"OPC"
"ABCC8-269","ABCC8",0.807812247489848,NA,0.268304363731846,0.214976097651536,0.0533282660803102,0.946944581951745,0.946458501200435,0.997032801402299,0.997941303677837,FALSE,0.396578114727153,"OPC"
"ABCC8-280","ABCC8",0.807812247489848,NA,0.265932275410723,0.201996402517236,0.0639358728934868,0.386802000512476,0.390993769163123,0.936127748414361,0.945255426520104,FALSE,0.376846030571992,"OPC"
"ACTB-206","ACTB",0.886757932204148,NA,0.273833418874321,0.391118611942226,-0.117285193067905,0.557234551526373,0.560949296350695,0.965921622826688,0.971798737999348,FALSE,0.457387030452974,"OPC"
"ACTB-217","ACTB",0.886757932204148,NA,0.721644967624787,0.605143764295398,0.116501203329389,0.557234551526374,0.559453492608921,0.965921622826688,0.971798737999348,FALSE,0.542612969547026,"OPC"
"ACTG1-205","ACTG1",0.840948428231576,NA,0.62145874929559,0.552058155239839,0.0694005940557508,0.457037189256292,0.459751896602127,0.962277519566958,0.970835089095248,FALSE,0.43054921387799,"OPC"
"ACTG1-206","ACTG1",0.840948428231576,NA,0.286889214609116,0.339333696136293,-0.0524444815271768,0.457037189256292,0.46110163786342,0.962277519566958,0.970835089095248,FALSE,0.56945078612201,"OPC"
"AFAP1L2-201","AFAP1L2",0.739903566359487,NA,0.318055599217723,0.197700061691963,0.12035553752576,0.210563743574397,0.214422417664681,0.931723628890955,0.945255426520104,FALSE,0.63249546152772,"OPC"
"AFAP1L2-202","AFAP1L2",0.739903566359487,NA,0.117724190364076,0.293765453350918,-0.176041262986842,0.575473100782926,0.577588121418962,0.965921622826688,0.971798737999348,FALSE,0.238081273565145,"OPC"
"AFAP1L2-206","AFAP1L2",0.739903566359487,NA,0.467926504124495,0.503326151623786,-0.0353996474992904,0.855220758605853,0.857168857790147,0.997032801402299,0.997941303677837,FALSE,0.129423264907136,"OPC"
"AFF4-201","AFF4",0.77055641727952,NA,0.394998240898157,0.787246515494739,-0.392248274596583,0.24818991583023,0.251303487753438,0.936127748414361,0.945255426520104,FALSE,0.373992673992674,"OPC"
"AFF4-203","AFF4",0.77055641727952,NA,0.452150300215902,0.212753484505261,0.239396815710641,0.248189915830229,0.252222545880128,0.936127748414361,0.945255426520104,FALSE,0.626007326007326,"OPC"
"AKAP6-201","AKAP6",0.931827627166655,NA,0.630904194988935,0.588587768573629,0.0423164264153056,0.726740505851995,0.727878558294691,0.997032801402299,0.997941303677837,FALSE,0.763262599469496,"OPC"
"AKAP6-213","AKAP6",0.931827627166655,NA,0.366931302846563,0.411145137409277,-0.0442138345627137,0.726740505851995,0.729547505974554,0.997032801402299,0.997941303677837,FALSE,0.236737400530504,"OPC"
"ANKRD26-201","ANKRD26",0.931827627166655,NA,0.406807865469036,0.347101449275362,0.059706416193674,0.710530166123485,0.711780804681728,0.997032801402299,0.997941303677837,FALSE,0.654320987654321,"OPC"
"ANKRD26-202","ANKRD26",0.931827627166655,NA,0.460502906931975,0.624327122153209,-0.163824215221234,0.710530166123485,0.713436960342063,0.997032801402299,0.997941303677837,FALSE,0.345679012345679,"OPC"
"ANKRD36C-201","ANKRD36C",0.996483161604952,NA,0.628670864297192,0.62157004527163,0.0071008190255627,0.975660049745067,0.974957138138007,0.997032801402299,0.997941303677837,FALSE,0.787179487179487,"OPC"
"ANKRD36C-202","ANKRD36C",0.996483161604952,NA,0.229288857893886,0.300449572434608,-0.0711607145407221,0.975660049745069,0.976728738277918,0.997032801402299,0.997941303677837,FALSE,0.212820512820513,"OPC"
"ANXA7-201","ANXA7",0.955096821148341,NA,0.524076903488668,0.450735930735931,0.0733409727527374,0.78239076776073,0.783132126513947,0.997032801402299,0.997941303677837,FALSE,0.792676767676768,"OPC"
"ANXA7-202","ANXA7",0.955096821148341,NA,0.475923096511332,0.549264069264069,-0.0733409727527374,0.78239076776073,0.784839179213217,0.997032801402299,0.997941303677837,FALSE,0.207323232323232,"OPC"
"AP2M1-202","AP2M1",0.824327495326192,NA,0.289945894617677,0.427466162076715,-0.137520267459038,0.416334499917547,0.420486468939618,0.949019881576147,0.955262758637665,FALSE,0.355206930604184,"OPC"
"AP2M1-208","AP2M1",0.824327495326192,NA,0.586901097188331,0.537760921162303,0.049140176026028,0.416334499917547,0.419206329760238,0.949019881576147,0.955262758637665,FALSE,0.644793069395816,"OPC"
"APLP2-203","APLP2",0.773367814677744,NA,0.327872127872128,0.326917270531401,0.000954857340726922,0.264396462419612,0.267523894136582,0.936127748414361,0.945255426520104,FALSE,0,"OPC"
"APLP2-210","APLP2",0.773367814677744,NA,0.481018981018981,0.42460563395203,0.0564133470669512,0.264396462419612,0.268483601523349,0.936127748414361,0.945255426520104,FALSE,1,"OPC"
"APP-201","APP",0.931827627166655,NA,0.179127854995539,0.193921959527446,-0.0147941045319078,0.719506819953554,0.720695297544046,0.997032801402299,0.997941303677837,FALSE,0.17658123501199,"OPC"
"APP-202","APP",0.931827627166655,NA,0.391074537164383,0.409401429863533,-0.0183268926991493,0.991225677059882,0.990405470739719,0.997032801402299,0.997941303677837,FALSE,0.503953952222837,"OPC"
"APP-204","APP",0.931827627166655,NA,0.428730766534699,0.395748392787239,0.0329823737474605,0.869037551097618,0.870887525857493,0.997032801402299,0.997941303677837,FALSE,0.319464812765172,"OPC"
