"transcript_id","gene_id","padj_gene","padj_tx","psi_AD","psi_ctrl","delta_psi","pval","empirical_pval","regular_FDR","empirical_FDR","robust_to_braak","psi_active_ctrl","cell_type"
"ACTB-206","ACTB",0.943026085805335,NA,0.294929604380707,0.332802624595938,-0.0378730202152303,0.719167180240345,NA,0.987776024044062,NA,FALSE,0.306520213363279,"Microglia"
"ACTB-217","ACTB",0.943026085805335,NA,0.702247324169684,0.664157861726251,0.0380894624434329,0.71916718024031,NA,0.987776024044062,NA,FALSE,0.693479786636721,"Microglia"
"ACTG1-205","ACTG1",0.84401787725007,NA,0.548741878610508,0.409932920536636,0.138808958073872,0.472720619481142,NA,0.941984238002311,NA,FALSE,0.775995246583482,"Microglia"
"ACTG1-206","ACTG1",0.84401787725007,NA,0.296986906816812,0.43984962406015,-0.142862717243338,0.472720619481142,NA,0.941984238002311,NA,FALSE,0.224004753416518,"Microglia"
"ANKRD12-201","ANKRD12",0.35407632404111,NA,0.780902540282471,0.609926001015839,0.170976539266632,0.0252911660029364,NA,0.379367490044063,NA,FALSE,0.9,"Microglia"
"ANKRD12-203","ANKRD12",0.35407632404111,NA,0.205868667233417,0.390073998984161,-0.184205331750744,0.0252911660029375,NA,0.379367490044063,NA,FALSE,0.1,"Microglia"
"ATRX-201","ATRX",0.809795434596009,NA,0.627577929476774,0.662370769303536,-0.034792839826762,0.940812438729528,NA,0.995346347917739,NA,FALSE,0.410901356210538,"Microglia"
"ATRX-202","ATRX",0.809795434596009,NA,0.266118479813904,0.288741645608044,-0.02262316579414,0.83412197585943,NA,0.987776024044062,NA,FALSE,0.580463065205697,"Microglia"
"ATRX-214","ATRX",0.809795434596009,NA,0.0679945047389884,0.0385406621263842,0.0294538426126042,0.21425029703163,NA,0.908954059240419,NA,FALSE,0.00863557858376511,"Microglia"
"BAZ2B-202","BAZ2B",0.809795434596009,NA,0.142445408688594,0.31481866730432,-0.172373258615726,0.412653754128039,NA,0.908954059240419,NA,FALSE,0.202702702702703,"Microglia"
