,PNN-201,DDIT4-201,EEF1A1-201,RESF1-201,UBC-201,CALM1-201,UTRN-204,HSPA1B-201,HLA-C-201,ARGLU1-204,RSRP1-207,NEAT1-202,MALAT1-202,ACTG1-205,TXNIP-204,ACTB-217
SMC030,22,4,11,13,8,5,4,34,7,13,23,134,218,7,14,20
SMC036,3,7,44,5,113,0,5,65,38,86,191,138,3,32,1,209
